Season,date,HomeTeam,AwayTeam,FTHG,FTAG,Ave L5 Goals,Ave L5 Away,Ave L5 HS,Ave L5 AS,Ave L5 HST,Ave L5 AST,Ave L5 HC,Ave L5 AC,Ave L5 HF,Ave L5 AF,Ave L5 HY,Ave L5 AY,Ave L5 HR,Ave L5 AR,Result
2000-01,########,DerbyH,BradfordA,2,0,1.0,0.2,10.4,9.2,3.6,4.8,4.6,4.8,15.2,15.2,2.0,1.6,0.2,0.2,1
2000-01,########,EvertonH,ArsenalA,2,0,0.8,1.0,7.6,11.2,3.6,6.0,5.6,6.8,13.8,12.0,2.4,1.2,0.0,0.0,1
2000-01,########,LeedsH,WestHamA,0,1,2.4,1.0,14.4,8.0,7.2,5.2,5.8,3.4,12.4,14.4,0.6,1.8,0.0,0.0,0
2000-01,########,ManCityH,ManUnitedA,0,1,0.6,1.8,11.4,13.0,5.6,5.6,8.6,8.6,13.2,11.0,1.2,1.2,0.0,0.0,0
2000-01,########,MiddlesbroughH,LeicesterA,0,3,0.6,1.2,8.8,7.0,3.8,3.8,5.8,4.0,9.8,12.2,2.4,1.4,0.2,0.0,0
2000-01,########,NewcastleH,SunderlandA,1,2,0.6,0.8,12.6,8.2,5.6,3.2,4.4,4.2,14.0,16.8,0.8,2.2,0.0,0.0,0
2000-01,########,SouthamptonH,AstonVillaA,2,0,1.6,0.8,13.0,8.2,6.0,3.2,5.8,3.4,11.2,16.0,1.4,1.8,0.0,0.2,1
2000-01,########,TottenhamH,LiverpoolA,2,1,1.6,1.8,13.6,11.2,6.0,5.4,7.4,3.2,12.4,14.2,0.8,2.0,0.2,0.0,1
2000-01,########,CoventryH,IpswichA,0,1,0.6,1.8,6.8,10.2,3.0,5.2,4.4,2.8,13.2,11.4,0.8,0.8,0.2,0.0,0
2000-01,########,CharltonH,SunderlandA,0,1,1.4,1.0,9.6,8.8,5.0,3.6,5.0,5.0,12.6,17.2,1.0,1.8,0.0,0.0,0
2000-01,########,CoventryH,AstonVillaA,1,1,0.8,0.6,7.0,8.6,3.2,3.6,4.4,3.0,12.0,17.2,0.6,1.6,0.2,0.2,2
2000-01,########,DerbyH,ManUnitedA,0,3,0.6,1.8,8.2,12.0,2.4,5.2,4.4,9.4,14.2,11.2,1.8,1.2,0.2,0.0,0
2000-01,########,EvertonH,ChelseaA,2,1,1.0,1.2,8.6,11.2,3.8,4.0,4.6,4.0,14.0,17.6,1.6,2.2,0.0,0.4,1
2000-01,########,ManCityH,IpswichA,2,3,0.8,2.0,11.0,10.0,5.6,4.6,8.0,3.2,11.8,8.6,0.8,0.6,0.0,0.0,0
